상호,영업소소재지(도로명),전화번호
카오 PC,부산광역시 금정구 서동로 105 (서동),
123PC,부산광역시 금정구 동부곡로10번길 1 (부곡동),
애플PC방,부산광역시 금정구 중앙대로 2035 (남산동),
쿠치나PC,부산광역시 금정구 서동로149번길 16 (서동),
쿠키PC방,"부산광역시 금정구 구서로 2 (구서동, 정우빌딩)",
렉없넷pc방,부산광역시 금정구 금정로149번길 8 (장전동),
앤PC방,부산광역시 금정구 부산대학로 59 (장전동),
OX PC방 부산대2호점,"부산광역시 금정구 금정로68번길 22, 3층 (장전동)",
아이파크PC방,부산광역시 금정구 중앙대로1719번길 23 (부곡동),051-512-5280
사이버존PC방,부산광역시 금정구 수림로85번길 53 (장전동),
인터플레이 PC방,부산광역시 금정구 팔송로 36 (남산동),
엔터존PC방,부산광역시 금정구 금강로279번길 81-6 (장전동),051-583-3014
젠PC방,부산광역시 금정구 부곡로 39 (부곡동),
쿨PC,부산광역시 금정구 금강로 271 (장전동),
3POP PC(부산대 정문점),"부산광역시 금정구 부산대학로 49 (장전동, 오션프라자)",
허브PC방(부곡동),부산광역시 금정구 부곡로 131 (부곡동),
네버랜드PC방,부산광역시 금정구 장전로12번길 45 (장전동),
자이언트PC방,부산광역시 금정구 남산로 27 (남산동),051-518-3308
여우별PC방,부산광역시 금정구 구서로 3 (구서동),051-581-7917
OX PC방 부곡점,"부산광역시 금정구 부곡로 112, 도원빌딩 3층 (부곡동)",
PC칸PC,부산광역시 금정구 부산대학로 62-1 (장전동),
노블PC카페 PC방,"부산광역시 금정구 금정로68번길 42 (장전동,명제빌딩3층)",
아이유PC방,부산광역시 금정구 금정로 59-4 (장전동),051-518-3596
젠PC,부산광역시 금정구 장전로 54-1 (장전동),
아이린PC방 부산대점,부산광역시 금정구 부산대학로 27 (장전동),
동아PC cafe,부산광역시 금정구 남산로37번길 39 (남산동),
자드PC,"부산광역시 금정구 중앙대로1719번길 37, 정암빌딩 3층 (부곡동)",
오페라pc존 부곡점,부산광역시 금정구 부곡로42번길 8 (부곡동),
PC바르셀로나,"부산광역시 금정구 구서로 5, 2층 (구서동)",
판도라PC,"부산광역시 금정구 남산로 20, 3층 (남산동)",
젠PC,"부산광역시 금정구 서동로176번길 11, 4층 (서동)",
BIG ZONE PC(두실점),"부산광역시 금정구 중앙대로1929번길 11 (구서동, 유림빌딩)",
이게 PC방이다,"부산광역시 금정구 금강로 179 (장전동, 대성빌딩)",
아이린 PC방(장전본점),"부산광역시 금정구 금강로335번길 26, 2층 (장전동)",
라이온 PC,부산광역시 금정구 중앙대로 2021-6 (남산동),
자비스 PC,"부산광역시 금정구 장전온천천로 51 (장전동, 테라스파크)",
공간PC,"부산광역시 금정구 금강로709번길 5, 지하1층 101호 (남산동, 맥스빌아파트)",
아이센스PC방,부산광역시 금정구 금사로 93 (금사동),
해피로 PC 장전점,"부산광역시 금정구 부산대학로64번길 137, 2층 (장전동, 하나로빌딩)",
3POP PC CAFE(부산대점),"부산광역시 금정구 부산대학로 29, 2층 (장전동, 네오스퀘어)",
히트 PC,부산광역시 금정구 금정로149번길 13 (장전동),
아이비스 PC,부산광역시 금정구 서금로 5 (서동),
노리 PC,부산광역시 금정구 구서로 7 (구서동),
바벨PC 시즌2,부산광역시 금정구 금강로565번길 26 (구서동),
아이린 PC방,"부산광역시 금정구 금강로 700, 남산시장빌딩 (남산동)",
로떼PC방,부산광역시 금정구 금강로279번길 81-14 (장전동),
옥스PC방,"부산광역시 금정구 금강로 271-5, 4층 (장전동)",
아이센스리그 PC,"부산광역시 금정구 구서로 13, 지하1층 (구서동)",
어쎄신PC클럽(부산본점),"부산광역시 금정구 금강로 379, 제이씨빌딩 (장전동)",
오엑스 피시 온천장역점,부산광역시 금정구 식물원로 11 (장전동),
아이앤락PC,"부산광역시 금정구 서동로 178, 3층 (서동)",
DOXX the AGON PC,"부산광역시 금정구 부곡로 43, 2층 (부곡동)",
OX PC 구서역점,"부산광역시 금정구 중앙대로1841번길 23, 현대타운 2층 (구서동)",
라이또 PC방 남산점,"부산광역시 금정구 금강로 694, 2층 205호 (남산동, 거성리젠시)",
긱스타 PC카페,"부산광역시 금정구 부산대학로 49, 오션프라자 2층 (장전동)",
터치나인PC구서점,"부산광역시 금정구 금강로 567, 3층 (구서동)",1644-8592
땡큐PC,"부산광역시 금정구 서명로 3, 1층 (서동)",
,,
